category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Chicken Tikka Wrap,₹179,,"a healthy and tasty wrap packed with green veggies,chicken tikka and spices all rolled up in a soft roti.",Non-Veg,,,,In Stock
Recommended,,Flat White,₹131,,Aussie-Style Microfoam Over Espresso-Strong Yet Elegantly Smooth.,Veg,,,,In Stock
Recommended,,Cafe Latte,₹131,,"Silky Steamed Milk Blended With Bold Espresso-Creamy, Smooth, And Timeless.",Veg,,,,In Stock
Recommended,,Cafe Mocha Special,₹155,,"Espresso And Chocolate United-Luxurious, Rich, And Finished With A Creamy Flourish.",Veg,,,,In Stock
Recommended,,Dark Hot Chocolate,₹155,,Velvety Chocolate Blend-Served Chilled Or Hot For Pure Cocoa Decadence.,Veg,,,,In Stock
Recommended,,Bournvita,₹143,,Creamy Chocolate Malt Drink With A Nostalgic Punch-Perfectly Frothed For A Wholesome Indulgence.,Veg,,,,In Stock
Recommended,,Cappuccino (Hazelnut),₹155,,"Rich Espresso Topped With Velvety Milk Foam-Classic Or Flavoured, Always Indulgent.",Veg,,,,In Stock
Recommended,,Cappuccino (Caramel),₹155,,"Rich Espresso Topped With Velvety Milk Foam-Classic Or Flavoured, Always Indulgent.",Veg,,,,In Stock
Recommended,,Cappuccino (Cinnamon),₹155,,"Rich Espresso Topped With Velvety Milk Foam-Classic Or Flavoured, Always Indulgent.",Veg,,,,In Stock
Recommended,,Caramel Macchiato,₹167,,"Espresso Layered With Milk, Vanilla And Luscious Caramel-Beautifully Bold And Sweet.",Veg,,,,In Stock
Recommended,,Cafe Latte (Hazelnut),₹167,,"Silky Steamed Milk Blended With Bold Espresso-Creamy, Smooth, And Timeless.",Veg,,,,In Stock
Recommended,,Hazelnut Mocha,₹167,,"Espresso And Chocolate United-Luxurious, Rich, And Finished With A Creamy Flourish.",Veg,,,,In Stock
Recommended,,Nutella Latte,₹179,,"Premium Handcrafted Brew For Modern Tastes-Satisfying, Soulful, And Cafe-Curated.",Veg,,,,In Stock
Recommended,,Cold Chocolate,₹167,,Velvety Chocolate Blend-Served Chilled Or Hot For Pure Cocoa Decadence.,Veg,,,,In Stock
Recommended,,Iced Latte,₹143,,"Chilled Milk And Espresso Served On Ice-Cool, Creamy, And Full Of Flavour.",Veg,,,,In Stock
Recommended,,Iced Americano,₹119,,"Espresso Poured Over Ice-Light, Crisp, And Energising.",Veg,,,,In Stock
Recommended,,Iced Caramel Macchiato,₹179,,Espresso Layered With Milk And Luscious Caramel-Beautifully Bold And Sweet.,Veg,,,,In Stock
Recommended,,Banana Shake,₹179,,"A Smooth Blend Of Ripe Bananas And Chilled Milk, This Classic Shake Offers Creamy Comfort With Every Sip-Light, Filling, And Refreshingly Nostalgic.",Veg,,,,In Stock
Recommended,,Strawberry Shake,₹179,,"Sweet, Juicy Strawberries Meet Cool Dairy In This Blush-Pink Delight. Velvety And Vibrant, It'S The Perfect Sip Of Summer All Year Round.",Veg,,,,In Stock
Recommended,,Vanilla Shake,₹191,,"Elegant And Understated, Our Vanilla Shake Brings Together Rich Ice Cream And Fragrant Vanilla Bean For A Timeless Indulgence That Never Goes Out Of Style.",Veg,,,,In Stock
Food,Finger Food,Chicken Puff [Medium],₹119,,"A Buttery Puff Loaded With Savory Chicken Masala-Crisp Outside, Hearty Inside, And Full Of Flavor.",Non-Veg,,,,In Stock
Food,Finger Food,Crispy Fried Chicken Popcorn (150 Gms) [Medium],₹203,,"Bite-Sized Crispy Chicken Morsels, Perfectly Seasoned And Golden Fried-Great For Snacking Or Sharing.",Non-Veg,,,,In Stock
Food,Finger Food,Harabhara Kebab (6 Pcs) [Medium],₹107,,"A Delicious Mix Of Spinach, Peas, And Spices, Pan-Seared To Perfection-Earthy, Wholesome, And Satisfying.",Veg,,,Yes,In Stock
Food,Finger Food,Cheese Garlic Bread [Medium],₹131,,"Toasty Bread Slathered With Garlic Butter And Molten Cheese-A Warm, Cheesy Crunch In Every Bite.",Veg,,,,In Stock
Food,Finger Food,Falafel Kebab (6 Pcs) [Medium],₹107,,"Crisp Middle Eastern Chickpea Patties With A Soft, Spiced Core-Flavorful And Protein-Packed.",Veg,,,,In Stock
Food,Finger Food,French Fries [Medium],₹119,,"Golden, Crisp, And Lightly Salted-Classic Hand-Cut Fries That Go With Everything.",Veg,,,,In Stock
Food,Finger Food,Veg Spring Rolls (4 Pcs) [Medium],₹119,,Crispy Rolls Filled With Seasoned Veggies And Served With A Spicy-Sweet Dipping Sauce-Great For Sharing (Or Not!).,Veg,,,,In Stock
Food,Finger Food,Peri Peri Fries [Medium],₹143,,"Crispy Fries Tossed In Bold Peri Peri Seasoning-Spicy, Tangy, And Irresistibly Addictive.",Veg,,,,In Stock
Food,Finger Food,Three Pepper Toastie [Medium],₹155,,"A Cheesy Grilled Sandwich Bursting With Capsicum, Black Pepper, And A Touch Of Chili-Spicy, Sharp, And Satisfying.",Veg,,,,In Stock
Food,Finger Food,Mushroom & Chicken Toastie [Medium],₹155,,"A Hearty Toastie Stuffed With Sauteed Mushrooms, Seasoned Chicken, And Melted Cheese-Rich, Meaty, And Full Of Flavor.",Non-Veg,,,,In Stock
Food,Finger Food,Cheese Fries [Medium],₹167,,"Fries Topped With A Gooey Cheese Sauce-Melty, Creamy, And Made For Indulgence.",Veg,,,,In Stock
Food,Finger Food,Crispy Fried Chicken Wings [Medium],₹203,,"Classic Chicken Wings Fried To Perfection And Served Hot-Ideal For Dipping, Sharing, Or Devouring Solo.",Non-Veg,,,,In Stock
Food,Finger Food,Crispy Fried Chicken Strips (200 Gms) [Medium],₹203,,"Tender Chicken Strips Coated In A Spiced, Crunchy Batter-Juicy Inside, Crispy Outside, And Full Of Bite.",Non-Veg,,,,In Stock
Food,Wrap,Harabhara Veg Wrap,₹149,,a healthy and tasty wrap packed with green veggies and spices  all rolled up in a soft roti..,Veg,,,,In Stock
