category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Hot Chocolate,₹249,Regular (240ml): ₹249 | Large (360ml): ₹289,"Steamed milk blended with rich chocolate for a thick, comforting classic.",Veg,4.5,313,Yes,Check app
Recommended,,Classic Cold Coffee,₹295,Regular (360ml): ₹295 | Large (480ml): ₹339,"Our bestselling classic—rich coffee blended into a smooth, creamy cold indulgence.
261 Kcal (regular)",Veg,4.7,505,Yes,Check app
Recommended,,Iced Chocolate,₹259,Regular (360ml): ₹259 | Large (480ml): ₹299,"Lush chocolate folded into cold milk for a creamy, refreshing classic.
Size - 360/480ml for Regular/Large & 199/266 Kcal respectively. Allergen contains - Milk,Soy. An average active adult requires 2000 kcal energy per day.",Veg,4.5,26,Yes,Check app
Recommended,,Classic Chocolate Fudge Brownie,₹225,,"Gooey and fudgy dark chocolate brownie, made with our secret recipe.Size - 100 gms & 445 Kcal respectively. Allergen contains - wheat - Milk - eggs . An average active adult requires 2000 kcal energy per day.",Non-Veg,4.6,80,,Check app
Recommended,,Cinnamon Roll,₹239,,"Southern American breakfast rolls, layered with cinnamon sugar, topped with a pure cream cheese frosting.",Veg,4.7,55,Yes,Check app
Breakfast Special,,Eggs Kejriwal,₹339,,"Serves 1 | A Bombay classic - Soft bun topped up with eggs, cheese, and mushroom Allergens:Wheat, Milk, Soy, Egg   kcal:540",Non-Veg,4.0,2,,Check app
Breakfast Special,,Masala Egg Bun,₹259,,"Serves 1 | A soft, fluffy bun filled with spiced scrambled eggs and melted cheese. Warm, comforting, and full of bold, savoury flavours. Allergens:Wheat, Milk, Soy, Egg   kcal:346",Non-Veg,5.0,64,,Check app
Breakfast Special,,Apple Carrot Beetroot Juice,₹269,,"Serves 1 | Crisp apple, sweet carrot and earthy beet, cold-pressed into a smooth, naturally sweet juice.
Kcal : 288Allergens : No allergens",Veg,,,,Check app
Breakfast Special,,Valencia Orange Juice,₹269,,"Serves 1 | Freshly squeezed Valencia oranges—bright, juicy, and naturally refreshing.
 Allergens:No allergens  kcal:219",Veg,,,,Check app
Breakfast Special,,"Egg, Mushroom & Ham Croissant Sandwich",₹369,,"Serves 1 | Flaky, buttery croissant filled with soft scrambled eggs, sautéed mushrooms, and savoury ham. A hearty, flavourful bite that perfectly balances comfort and indulgence. Allergens:Wheat, Milk, Soy, Egg  kcal:549",Non-Veg,,,,Check app
