category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Sandwiches,,Bread Jam Sandwich,₹78,,Delicious bread jam - soft bread paired with sweet and tangy jam for a delightful and satisfying treat.,Veg,,,,Check app
Sandwiches,,Grilled Vegetable,₹78,,Savory veg grill - an irresistible medley of grilled vegetables bursting with flavors and served to perfection.,Veg,,,,Check app
Sandwiches,,American Sweet Corn,₹85,,"Mouthwatering american sweet corn sandwich - a delectable blend of succulent sweet corn, tangy mayo, and fresh veggies sandwiched between soft bread for a scrumptious bite of american-inspired goodness.",Veg,,,,Check app
Sandwiches,,Bombay Masala,₹85,,"Flavorful bombay masala sandwich - a savory delight packed with a medley of spicy and tangy masala filling, layered with veggies, and grilled to perfection, capturing the authentic flavors of mumbai street food in a single sandwich.",Veg,,,,Check app
Sandwiches,,Capsicum Cheese,₹91,,"Delicious sandwich with fresh capsicum slices and melted cheese, perfect for a savory and satisfying meal.",Veg,,,,Check app
Sandwiches,,Peanut Butter Sandwich,₹85,,"Classic sandwich made with creamy peanut butter spread, perfect for a nutty and satisfying snack or meal option.",Veg,,,,Check app
Sandwiches,,Paneer,₹91,,"A delicious and satisfying sandwich made with soft, crumbly paneer (indian cottage cheese) and spices, grilled to perfection for a mouthwatering bite.",Veg,,,,Check app
Sandwiches,,Chocolate Grill,₹85,,"A sinfully indulgent grilled sandwich filled with rich, melty chocolate, sandwiched between crispy bread slices for a heavenly treat.",Veg,,,,Check app
Sandwiches,,Banana Jam,₹91,,"A delightful sandwich featuring sweet and creamy banana jam spread between slices of bread, creating a delightful blend of flavors that are perfect for breakfast or a sweet snack.",Veg,,,,Check app
Sandwiches,,Tomato Onion Cheese,₹98,,"A scrumptious sandwich packed with tangy tomato slices, crisp onion rings, and gooey cheese, grilled to perfection for a burst of flavors in every bite.",Veg,,,,Check app
Sandwiches,,Aloo Paneer,₹98,,"A delectable sandwich featuring a flavorful filling of spiced potatoes (aloo) and soft paneer (indian cottage cheese), cooked to perfection and served between slices of bread for a satisfying meal.",Veg,,,,Check app
Sandwiches,,Veg Grill Cheese,₹98,,"A mouthwatering sandwich loaded with a medley of grilled vegetables, ooey-gooey cheese, and a tangy sauce, creating a perfect blend of flavors and textures for a scrumptious and satisfying meal.",Veg,,,,Check app
Sandwiches,,American Sweet Corn Cheese,₹98,,"A delightful sandwich featuring sweet corn, creamy cheese, and a hint of american flavors, grilled to perfection for a deliciously comforting and indulgent treat.",Veg,,,,Check app
Sandwiches,,Bread Cheese,₹98,,"A classic sandwich made with soft bread slices, generously filled with creamy cheese, perfect for a simple yet satisfying meal or snack.",Veg,,,,Check app
Sandwiches,,Chilli Cheese,₹98,,"A spicy and cheesy sandwich packed with flavorful chili, gooey cheese, and a hint of heat, grilled to perfection for a fiery and satisfying bite.",Veg,,,,Check app
Sandwiches,,Paneer Cheese,₹104,,"A delicious sandwich featuring the perfect combination of soft paneer (indian cottage cheese) and creamy cheese, grilled to perfection for a delightful blend of flavors and textures.",Veg,,,,Check app
Sandwiches,,Chocolate Grill Cheese,₹98,,"A heavenly sandwich with rich, melty chocolate and gooey cheese, grilled to perfection for a decadent and indulgent treat that will satisfy any sweet tooth.",Veg,,,,Check app
Sandwiches,,Banana Peanut Butter Veg,₹98,,"A scrumptious sandwich featuring sweet banana slices and creamy peanut butter, sandwiched between slices of bread for a delightful combination of flavors that are perfect for breakfast or a satisfying snack.",Veg,,,,Check app
Sandwiches,,Aloo Paneer Cheese Sandwich,₹111,,"A mouthwatering sandwich filled with spiced potatoes (aloo), soft paneer (indian cottage cheese), and gooey cheese, grilled to perfection for a satisfying blend of flavors and textures.",Veg,,,,Check app
Sandwiches,,Mixed Vegetable,₹117,,"A wholesome and flavorful sandwich loaded with a medley of fresh and crisp mixed vegetables, perfect for a nutritious and delicious meal on-the-go.",Veg,,,,Check app
Beverages - Hot,,Ginger Tea,₹20,,"This soothing, aromatic brew warms the soul and refreshes the senses with every comforting sip.",Veg,4.5,7,,Check app
Beverages - Hot,,Coffee / Chai,₹20,,"Warm and comforting, this aromatic beverage delivers a perfect harmony of rich flavors, inviting you to savor each sip.",Veg,,,,Check app
