category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Cheese Omelette,₹210,,"Light, tender and fluffy, made with 3 eggs filled with gooey, stretchy cheese. Comes with a side of garlic toast.",Non-Veg,,,,Check app
Salads,,Potato Egg Salad,₹300,,"Potato egg salad is a delicious and popular dish made from boiled potatoes, hard-boiled eggs, and a creamy mustard dressing, topped with spring onions.",Non-Veg,,,,Check app
Salads,,Thai Mango Salad Veg,₹270,,"Our raw mango salad has a burst of flavours: fruity, hot, sweet, sour and salty with an amazing balance of textures. To top it all you have the crunch of peanuts",Veg,3.8,4,,Check app
Salads,,Greek Salad Non Veg,₹360,,,Non-Veg,,,,Check app
Salads,,Thai Mango Salad Non Veg,₹340,,,Non-Veg,,,,Check app
Salads,,Greek Salad Veg,₹300,,"Our greek salad is a delicious combination of mixed lettuce, sliced english cucumbers, chopped cherry tomatoes, pitted black and green olives, red bell peppers, onions and feta cheese with a dressing that is sure to make you drool.",Veg,,,,Check app
Salads,,Caesar Salad Non Veg,₹340,,,Non-Veg,,,,Check app
Salads,,Caesar Salad Veg,₹290,,"Our caesar salad is a classic with crispy lettuce, crunchy croutons, shaved parmesan cheese and a light creamy home made dressing. This is a go to meal at anytime, anyday!",Veg,4.8,4,,Check app
Salads,,Citrus Chickpea Salad Chicken,₹350,,"A vibrant medley of roasted chickpeas, juicy orange segments, crisp lettuce and shredded chicken, this citrus chickpea salad is tossed in a unique citrus and sweet potato dressing. Sweet, tangy, and full of texture, it's a refreshing and nourishing dish.",Non-Veg,,,,Check app
Salads,,Carrot & Cucumber Salad,₹280,,"Thinly julienned carrots and cucumbers provide a crisp texture, while the addition of roasted peanuts adds a nutty crunch. The salad is dressed with a savory umami-packed sauce. A drizzle of chili oil enhances the dish with a spicy kick, complemented by  fresh cilantro garnish.",Veg,,,,Check app
Salads,,Citrus Chickpea Salad,₹350,,"A vibrant medley of roasted chickpeas, juicy orange segments, and crisp lettuce, this citrus chickpea salad is tossed in a unique citrus and sweet potato dressing. Sweet, tangy, and full of texture, it's a refreshing and nourishing dish.",Veg,4.8,5,,Check app
Salads,,Pesto Pasta Salad Veg,₹280,,"Our pasta salad is dressed with freshly made basil pesto, it",Veg,5.0,3,,Check app
Salads,,Pesto Pasta Salad Non Veg,₹350,,,Non-Veg,,,,Check app
Salads,,Thai Veg Crunch & Chicken Salad,₹360,,"Thai veg crunch salad is a colorful medley of shredded cabbage, carrots, and peppers, tossed with fresh herbs and a creamy, tangy peanut dressing. Topped with crunchy peanuts for extra texture, it",Non-Veg,4.9,3,,Check app
Salads,,Roasted Vegetable & Grilled Chicken Salad,₹390,,"A colorful medley of roasted veggies, grilled chicken and a vibrant mediterranean dressing, this salad is a big bowl of brightness and a very satisfying meal. A must try!",Non-Veg,,,,Check app
Salads,,Thai Veg Crunch Salad,₹290,,"Thai veg crunch salad is a colorful medley of shredded cabbage, carrots, and peppers, tossed with fresh herbs and a creamy, tangy peanut dressing. Topped with crunchy peanuts for extra texture, it",Veg,5.0,3,,Check app
Salads,,Roasted Vegetable Salad,₹375,,,Veg,,,,Check app
Salads,,Roasted Broccoli Salad With Chicken,₹395,,,Non-Veg,,,,Check app
