category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Long Black,₹150,,Inverted americano -  hot water + espresso,Veg,,,,Check app
Recommended,,Cafe Mocha,₹200,Regular: ₹200 | Large: ₹220,,Veg,4.7,5,,Check app
Recommended,,Sea Salt Mocha,₹200,Regular: ₹200 | Large: ₹220,In house coffee blend with cocoa & a hint of sea salt,Veg,,,Yes,Check app
Recommended,,Almond Latte,₹220,Regular: ₹220 | Large: ₹240,"Made with almond milk, garnished with almond flakes",Veg,,,,Check app
Recommended,,Citrus Cold Brew,₹200,Regular: ₹200 | Large: ₹220,Cold brew topped with freshly squeezed orange juice,Veg,,,,Check app
Recommended,,Tiramisu Latte,₹240,,,Veg,,,,Check app
Newly Launched,,Sparkling Orange Americano,₹220,,"Bright espresso lifted with sparkling water and a dash of fresh orange, crisp, citrusy, and ultra-refreshing.",Veg,,,Yes,Check app
Newly Launched,,Peanut Butter Latte,₹300,Hot: ₹300 | Iced: ₹300,"Smooth coffee enriched with velvety peanut butter for a nutty, indulgent, and creamy flavour",Veg,,,,Check app
Newly Launched,,Apple Pie Latte,₹300,Hot: ₹300 | Iced: ₹300,"Espresso blended with warm apple notes and gentle spices, for a creamy fruity flavour",Veg,,,,Check app
Newly Launched,,Pistachio Cream Latte,₹300,Hot: ₹300 | Iced: ₹300,"Espresso folded into lightly foamed milk and pistachio cream, giving it a nutty and luxuriously smooth taste",Veg,,,,Check app
Hot,,Espresso,₹80,,Pick from house blend – medium roast or dark roast,Veg,,,,Check app
Hot,,Long Black,₹150,,Inverted americano -  hot water + espresso,Veg,,,,Check app
Hot,,Cafe Mocha,₹200,Regular: ₹200 | Large: ₹220,,Veg,4.7,5,,Check app
Hot,,Flat White,₹200,Regular: ₹200 | Large: ₹220,,Veg,,,,Check app
Hot,,Coconut Cafe Latte,₹200,Regular: ₹200 | Large: ₹220,,Veg,,,,Check app
Hot,,Sea Salt Mocha,₹200,Regular: ₹200 | Large: ₹220,In house coffee blend with cocoa & a hint of sea salt,Veg,,,Yes,Check app
Hot,,Sea Salt Caramel Latte,₹200,Regular: ₹200 | Large: ₹220,"Rich coffee meets buttery caramel and a dash of sea salt, perfectly balanced with steamed or cold milk. Enjoy it warm and cozy.",Veg,,,,Check app
Hot,,Americano,₹120,Regular: ₹120 | Large: ₹140,A harmonious balance of espresso + pristine hot water,Veg,,,,Check app
Hot,,Bullet Coffee,₹150,Regular: ₹150 | Large: ₹170,Great for keto/health freaks - black coffee with grass fed organic butter,Veg,,,,Check app
Hot,,Cappuccino,₹150,Regular: ₹150 | Large: ₹180,"Perfect balance of rich espresso, velvety steamed milk, and topped with a frothy layer of milk foam",Veg,,,,Check app
Hot,,Cinnamon Cappuccino,₹180,Regular: ₹180 | Large: ₹200,"A warm, frothy cappuccino with a dash of cinnamon, delivering a comforting blend of spice and smooth coffee.",Veg,,,,Check app
Hot,,Cafe Latte,₹180,Regular: ₹180 | Large: ₹200,,Veg,4.7,3,,Check app
Hot,,Caramel Latte,₹180,Regular: ₹180 | Large: ₹200,,Veg,,,,Check app
Hot,,Almond Latte,₹220,Regular: ₹220 | Large: ₹240,"Made with almond milk, garnished with almond flakes",Veg,,,,Check app
Hot,,Hazelnut Latte,₹200,Regular: ₹200 | Large: ₹220,,Veg,,,,Check app
Hot,,Cortado,₹160,,Smaller version of cafe latte - cutting coffee if you please,Veg,,,,Check app
Hot,,Vietnamese Styled Coffee,₹250,Regular: ₹250 | Large: ₹270,"Strong, slow-drip dark coffee balanced with sweet condensed milk",Veg,1.8,3,,Check app
Hot,,Signature Filter Coffee,₹200,Regular: ₹200 | Large: ₹220,"Aromatic and full-bodied, brewed from carefully selected beans, roasted to perfection",Veg,,,,Check app
Hot,,Vanilla Mint Latte,₹200,Regular: ₹200 | Large: ₹220,,Veg,,,,Check app
Fruit Coffees,,Orange Americano,₹200,Hot: ₹200 | Iced: ₹220,,Veg,,,,Check app
Fruit Coffees,,Pineapple Americano,₹200,Hot: ₹200 | Iced: ₹220,,Veg,5.0,3,,Check app
Fruit Coffees,,Apple Americano,₹200,Hot: ₹200 | Iced: ₹220,,Veg,,,,Check app
