category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Choux [Box Of 3],₹770,,"Choux pastry is a light and crisp-shelled dessert with a soft, custard-like center, filled with chocolate hazelnut, lemon, Biscoff, coffee, vanilla, or strawberry.",Non-Veg,4.6,542,Yes,In Stock
Recommended,,Choux [Box Of 6],₹1490,,"Choux pastry is a light and crisp-shelled dessert with a soft, custard-like center, filled with chocolate hazelnut, lemon, Biscoff, coffee, vanilla, or strawberry.",Non-Veg,4.9,136,,In Stock
Recommended,,Coffee Eclair,₹350,,Coffee éclair — a classic French-style choux pastry dessert filled with coffee mousseline and glazed with chewy caramel and nuts.,Non-Veg,4.5,91,,In Stock
Recommended,,"Assorted Tea Cakes [2 Slices, 150 Grams]",₹400,,Vanilla Almond Tea Cake [1 Slice] + Orange Carrot Cake With Ginger Crumble [1 Slice],Veg,4.1,11,,In Stock
Recommended,,Vanilla Almond Tea Cake [75 Grams],₹200,,150 gram | Vanilla bean tea cake slice with slivered almonds.,Veg,2.8,15,,In Stock
Recommended,,Japanese Cottonsoft Cheese Cake - 500 Grams,₹1780,,500 gram | Light and airy souffle cheese cake with a subtle flavour of cream cheese.,Non-Veg,4.2,52,,In Stock
Recommended,,"Dark Chocolate Cake [500 Grams, Serves 4]",₹1190,,Comes with 1 Candle | 350 gram | Chocolate cake made with Callebaut Dark Couverture Chocolate 54.5%. The sponge is layered with dark chocolate ganache and topped with hazelnuts.,Veg,3.8,4,,In Stock
Recommended,,Vanilla Almond Pound Cake [300 Grams],₹1000,,Comes with 1 Candle | 300 gram | Vanilla bean pound cake with slivered almonds. Served without cream.,Veg,4.8,14,,In Stock
Recommended,,Korean Cream Cheese Garlic Bread [140 grams],₹320,,Garlic flavoured buns with sweetened cream cheese filling and crispy crumb texture.,Non-Veg,4.7,149,,In Stock
Recommended,,Iced Vanilla Latte,₹300,,"Serves 1 | A refreshing twist on the classic latte, served over ice for a cool and invigorating coffee experience. Crafted using Araku coffee beans",Veg,4.7,7,,In Stock
Recommended,,Mocha,₹300,,"Serves 1 | Indulge in the decadence of espresso, steamed milk, and Callebaut Dark Couverture chocolate, creating a lusciously sweet and satisfying treat. Crafted using Araku coffee beans",Veg,4.2,4,,In Stock
Choux Pastries,,Choux [Box Of 3],₹770,,"Choux pastry is a light and crisp-shelled dessert with a soft, custard-like center, filled with chocolate hazelnut, lemon, Biscoff, coffee, vanilla, or strawberry.",Non-Veg,4.6,542,Yes,In Stock
Choux Pastries,,Chocolate Hazelnut Choux Pastry,₹290,,"[Bestseller] This chocolate choux pastry dessert is filled with dark chocolate ganache, roasted hazelnuts, and our special praline.",Non-Veg,4.5,126,Yes,In Stock
Choux Pastries,,Lemon Choux Pastry,₹290,,[Popular] This lemon choux pastry dessert is filled with lemon cream cheese and the chef’s special lemon curd.,Non-Veg,4.7,80,Yes,In Stock
Choux Pastries,,Vanilla Choux Pastry,₹290,,This vanilla choux pastry dessert is filled with vanilla diplomat cream and salted caramel.,Non-Veg,4.2,20,,In Stock
Choux Pastries,,Choux [Box Of 6],₹1490,,"Choux pastry is a light and crisp-shelled dessert with a soft, custard-like center, filled with chocolate hazelnut, lemon, Biscoff, coffee, vanilla, or strawberry.",Non-Veg,4.9,136,,In Stock
Choux Pastries,,Strawberry Choux Pastry,₹290,,"This strawberry choux pastry dessert is filled with strawberry cream cheese and our homemade strawberry jam, finished with a heart-shaped cookie.",Non-Veg,4.5,6,,In Stock
Choux Pastries,,Choux Wreath,₹2080,,"8 choux pastries arranged in a circular wreath, perfect for any celebration, featuring our signature choux filled with your favorite creamy flavors.",Non-Veg,5.0,5,,In Stock
Choux Pastries,,Chocolate Hazelnut Choux [Box Of 3],₹770,,"[Bestseller] This chocolate choux pastry dessert is filled with dark chocolate ganache, roasted hazelnuts, and our special praline.",Non-Veg,4.8,210,,In Stock
Choux Pastries,,Lotus Biscoff Choux Pastry,₹290,,"This Biscoff choux pastry dessert is filled with Biscoff-flavoured cream cheese, Lotus Biscoff biscuits, and Lotus Biscoff spread.",Non-Veg,4.7,49,,In Stock
Choux Pastries,,Mango Choux Pastry,₹290,,"Light choux filled with silky mango cream, fresh mango compote, and real mango pieces. Tropical, airy, and refreshing.",Non-Veg,4.7,30,,In Stock
Choux Pastries,,Coffee Choux Pastry,₹290,,"This coffee choux pastry dessert is filled with coffee mousseline, roasted nuts, and chewy salted caramel.",Non-Veg,3.7,16,,In Stock
Choux Pastries,,Mango Choux Pastry [Box of 3],₹770,,"Light choux filled with silky mango cream, fresh mango compote, and real mango pieces. Tropical, airy, and refreshing.",Non-Veg,,,,In Stock
Choux Pastries,,Lemon Choux [Box Of 3],₹770,,[Popular] This lemon choux pastry dessert is filled with lemon cream cheese and the chef’s special lemon curd.,Non-Veg,4.6,34,,In Stock
Choux Pastries,,Lotus Biscoff Choux [Box Of 3],₹770,,"This Biscoff choux pastry dessert is filled with Biscoff-flavoured cream cheese, Lotus Biscoff biscuits, and Lotus Biscoff spread.",Non-Veg,4.6,110,,In Stock
Choux Pastries,,Vanilla Choux Pastry [Box of 3],₹770,,This vanilla choux pastry dessert is filled with vanilla diplomat cream and salted caramel.,Non-Veg,5.0,5,,In Stock
Choux Pastries,,Coffee Choux Pastry [Box of 3],₹770,,"This coffee choux pastry dessert is filled with coffee mousseline, roasted nuts, and chewy salted caramel.",Non-Veg,4.4,4,,In Stock
Choux Pastries,,Strawberry Choux [Box Of 3],₹770,,"This strawberry choux pastry dessert is filled with strawberry cream cheese and our homemade strawberry jam, finished with a heart-shaped cookie.",Non-Veg,4.9,58,,In Stock
Full Cakes,,Burnt Chocolate Basque Cheese Cake [1 Kg],₹2600,,A chocolate cheese cake with a burnt caramelized top and creamy centre,Veg,,,,In Stock
Full Cakes,,Dark Chocolate Cake [1 kg],₹2350,,Chocolate cake made with Callebaut Dark Couverture Chocolate 54.5%. The sponge is layered with dark chocolate ganache and topped with hazelnuts.,Veg,,,,In Stock
Full Cakes,,Pineapple Crumble Cheese Cake [1 Kg],₹2350,,"NY-style white chocolate cheese cake with our in-house pineapple compote, a hint of lemon, and almond crumble.",Veg,,,,In Stock
Full Cakes,,Japanese Cottonsoft Cheese Cake - 500 Grams,₹1780,,500 gram | Light and airy souffle cheese cake with a subtle flavour of cream cheese.,Non-Veg,4.2,52,,In Stock
Full Cakes,,Burnt Chocolate Basque Cheese Cake [500 Grams],₹1350,,A chocolate cheese cake with a burnt caramelized top and creamy centre,Veg,,,,In Stock
Full Cakes,,Japanese Cottonsoft Cheese Cake [300 Grams],₹1080,,Light and airy souffle cheese cake with a subtle flavour of cream cheese.,Non-Veg,4.6,62,,In Stock
Full Cakes,,"Dark Chocolate Cake [500 Grams, Serves 4]",₹1190,,Comes with 1 Candle | 350 gram | Chocolate cake made with Callebaut Dark Couverture Chocolate 54.5%. The sponge is layered with dark chocolate ganache and topped with hazelnuts.,Veg,3.8,4,,In Stock
Full Cakes,,Pineapple Crumble Cheese Cake [500 Grams],₹1180,,"NY-style white chocolate cheese cake with our in-house pineapple compote, a hint of lemon, and almond crumble.",Veg,,,,In Stock
