category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Fish Finger,₹460,,Boneless Fish Are Mixed With A Spicy Seasoning Battered V,Non-Veg,,,,Check app
Recommended,,Peri Peri Chicken Wings,₹380,,"Spicy Peri Peri Wings, Smoky, Tangy Flavor.",Non-Veg,,,,Check app
Recommended,,Bbq Chicken Wings,₹380,,Crispy Chicken Wings Smothered In A Sweet Tangy Homemade Bbq Sauce,Non-Veg,,,,Check app
Recommended,,Stuffed Mushroom,₹330,,"Juicy Mushrooms, Creamy Filling, Herbs, Cheese.",Veg,,,,Check app
Recommended,,Nachos With Salsa,₹290,,"Crispy Nachos, Fresh Salsa, Zesty Flavors.",Veg,,,,Check app
Recommended,,Oats Milk,₹100,,,Veg,,,,Check app
Classic,,Sea Salt Mocha,₹260,,,Veg,,,,Check app
Classic,,Cold Coffee,₹245,,,Veg,,,,Check app
Classic,,Mocha,₹240,,,Veg,,,,Check app
Classic,,Vietnamese Coffee,₹280,,,Veg,,,,Check app
Classic,,Flat White,₹220,,,Veg,,,,Check app
Classic,,Cappuccino,₹220,,,Veg,,,,Check app
Classic,,Americano,₹199,,,Veg,,,,Check app
Classic,,Decaf,₹210,,,Veg,,,,Check app
Classic,,Macchiato,₹220,,,Veg,,,,Check app
Classic,,Cortado,₹220,,,Veg,,,,Check app
Classic,,Espresso Tonic,₹260,,,Veg,,,,Check app
Classic,,Portugese Coffee,₹280,,,Veg,,,,Check app
Classic,,Espresso Doppio,₹220,,,Veg,,,,Check app
Classic,,Espresso Solo,₹190,,,Veg,,,,Check app
Classic,,Orange Zest Mocha,₹270,,,Veg,,,,Check app
Classic,,Signature Filter Coffee,₹270,,,Veg,,,,Check app
Classic,,Ice Cappucino,₹245,,,Veg,,,,Check app
Classic,,Express Ale,₹270,,,Veg,,,,Check app
Classic,,Iced Americano,₹245,,,Veg,,,,Check app
Appetizer,,Fish Finger,₹460,,Boneless Fish Are Mixed With A Spicy Seasoning Battered V,Non-Veg,,,,Check app
Appetizer,,"Prawns (butter, Garlic, Golden Fry)",₹450,,"Juicy Prawns, Buttery Garlic, Crispy Coating.",Non-Veg,,,,Check app
Appetizer,,Peri Peri Chicken Wings,₹380,,"Spicy Peri Peri Wings, Smoky, Tangy Flavor.",Non-Veg,,,,Check app
Appetizer,,Bbq Chicken Wings,₹380,,Crispy Chicken Wings Smothered In A Sweet Tangy Homemade Bbq Sauce,Non-Veg,,,,Check app
Appetizer,,Stuffed Mushroom,₹330,,"Juicy Mushrooms, Creamy Filling, Herbs, Cheese.",Veg,,,,Check app
Appetizer,,Hummus & Pita Bread,₹320,,"Warm Pita, Creamy Hummus, Olive Oil.",Veg,,,,Check app
Appetizer,,Focaccia Bread With Hummus,₹320,,"Soft Focaccia, Creamy Hummus, Olive Oil, Herbs.",Veg,,,,Check app
Appetizer,,Potato Wedges,₹280,,"Crispy Potato Wedges, Seasoning, Dipping Sauce.",Veg,,,,Check app
Appetizer,,Jalapeno Popper Cheese Balls,₹380,,Crispy Cheese Jalape,Veg,,,,Check app
Appetizer,,Nachos With Salsa,₹290,,"Crispy Nachos, Fresh Salsa, Zesty Flavors.",Veg,,,,Check app
Appetizer,,Fajita Wrap,₹240,,"Rich And Velvety Broccoli With A Touch Of Cream, Served Warm For A Comforting Experience.",Veg,,,,Check app
Appetizer,,Veg Bruscheta,₹320,,"Toasted Bread, Fresh Veggies, Herbs, Olive Oil.",Veg,,,,Check app
Pasta,,Non-veg Creamy Cheese Pasta,₹480,,"Pasta In Rich, Velvety Cheese Sauce.",Non-Veg,,,,Check app
Pasta,,Pink Pasta Non Veg,₹480,,Pasta With Slow-Cooked Lamb In Tomato Sauce,Non-Veg,,,,Check app
Pasta,,Non-veg Aligo E Olio,₹480,,Garlic Olive Oil Pasta With Chili Flakes.,Non-Veg,,,,Check app
Pasta,,Non-veg Mac N Cheese Pasta,₹520,,Baked Cheesy Pasta With A Crispy Top.,Non-Veg,,,,Check app
Pasta,,Veg Aligo E Olio,₹450,,Garlic Olive Oil Pasta With Chili Flakes.,Veg,,,,Check app
Pasta,,Veg Arabiata,₹450,,Spicy Tomato Pasta With Garlic And Chili.,Veg,,,,Check app
Pasta,,Veg Pesto,₹450,,Pasta With Fresh Basil Pesto And Parmesan.,Veg,,,,Check app
