category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Chicken Clear Soup                                  ,₹130,,,Veg,,,,Check app
Recommended,,Chicken Sweet Corn Soup                                  ,₹130,,,Veg,,,,Check app
Rolls,,Double Egg Double Chicken Roll,₹200,,"A delectable combination of succulent chicken and fluffy eggs, rolled into a mouthwatering treat.",Non-Veg,5.0,6,,Check app
Rolls,,Double Egg Double Chicken Cheese Roll,₹210,,"A delectable roll filled with double portions of egg, tender chicken, and melted cheese for a mouthwatering non-veg treat.",Non-Veg,,,,Check app
Rolls,,Double Chicken Roll,₹160,,"A mouthwatering blend of tender chicken enveloped in a delicate double-layered roll, delightfully satisfying for any meat lover.",Non-Veg,5.0,5,,Check app
Rolls,,Egg Roll,₹90,,"A sumptuous roll filled with a satisfying blend of flavors and textures, perfect for those craving a savory treat.",Non-Veg,4.5,5,,Check app
Rolls,,Chicken Egg Roll,₹160,,"A delectable combination of tender chicken and savory flavors, wrapped in a crispy roll.",Non-Veg,3.5,9,,Check app
Rolls,,Chicken Roll,₹120,,"A scrumptious roll filled with tender, flavorful chicken, leaving you craving for more.",Non-Veg,3.6,8,,Check app
Rolls,,Double Chicken Cheese Roll,₹180,,"A delectable roll featuring succulent chicken combined with creamy cheese, for an indulgent non-veg delight.",Non-Veg,,,,Check app
Rolls,,Chicken Cheese Roll,₹160,,"A delectable roll filled with savory chicken and melted cheese, offering a perfect blend of flavors.",Non-Veg,5.0,4,,Check app
Rolls,,Paneer Roll,₹130,,"A delectable and flavorsome vegetarian roll showcasing tender paneer wrapped in a warm and soft layer, perfect for a delightful meal on the go.",Veg,3.4,8,,Check app
Rolls,,Aloo Roll,₹80,,"Flavorful and filling, this savory veggie roll is a delectable combination of seasoned potato and a fluffy wrap, delivering a delightful taste sensation.",Veg,5.0,5,,Check app
Rolls,,Egg Cheese Roll,₹120,,A savory and satisfying roll filled with a delightful combination of egg and  cheese.,Non-Veg,,,,Check app
Rolls,,Paneer Egg Roll,₹140,,A delectable roll filled with flavorful paneer and egg for a delightful fusion of textures and tastes.,Non-Veg,4.2,3,,Check app
Rolls,,Chicken Egg Cheese Roll,₹170,,"A succulent and flavorful combination of chicken, eggs, and cheese, perfectly rolled for a tantalizing bite.",Non-Veg,,,,Check app
Veg Sandwich,,Veg Cheese Sandwich,₹90,,A delectable sandwich filled with a blend of flavorful vegetables and melty cheese.,Veg,3.9,16,,Check app
Veg Sandwich,,Nutella Butter Toast Sandwich,₹90,,Indulge in a delectable veg sandwich that combines the rich creaminess of Nutella with the irresistible flavor of buttered toast.,Veg,,,,Check app
Veg Sandwich,,Veg Club Sandwich,₹180,,,Veg,,,,Check app
Veg Sandwich,,Chilli Cheese Sandwich,₹90,,,Veg,5.0,9,,Check app
Veg Sandwich,,Aloo Sandwich,₹80,,"Delicious and flavorful sandwich with a mouthwatering filling, perfect for vegetarians.",Veg,3.3,3,,Check app
Veg Sandwich,,Bread Butter Jam,₹40,,"A delectable veg sandwich that combines the classic flavors of bread, butter, and jam.",Veg,,,,Check app
Veg Sandwich,,Spicy Paneer Sandwich,₹130,,"A delightful and flavor-packed sandwich with a burst of enticing flavors, perfect for vegetarian sandwich lovers.",Veg,,,,Check app
Veg Sandwich,,Mushroom Veg Sandwich,₹100,,A delicious sandwich filled with savory mushrooms and fresh vegetables.,Veg,,,,Check app
Veg Sandwich,,Veg Mayo Sandwich,₹80,,"A mouthwatering sandwich packed with assorted vegetables, dressed in creamy mayo.",Veg,,,,Check app
Veg Sandwich,,Cheese Toast Sandwich,₹70,,"A delectable and indulgent sandwich filled with gooey, melted cheese nestled between perfectly toasted bread.",Veg,2.2,3,,Check app
Veg Sandwich,,Spicy Corn Sandwich,₹100,,"A tantalizing combination of flavors and textures, this veg sandwich is a delicious treat for the taste buds.",Veg,,,,Check app
Veg Sandwich,,Nutella Banana Toast Sandwich,₹100,,"Indulge your taste buds with this heavenly combination of creamy Nutella and sweet sliced bananas, sandwiched between perfectly toasted bread.",Veg,,,,Check app
Fresh Juice,,Pomegranate Juice,₹130,,"A refreshing burst of natural sweetness, bursting with the vibrant flavors of freshly squeezed pomegranates.",Veg,4.6,5,,Check app
Fresh Juice,,Watermelon Juice,₹80,,"Refreshing and invigorating, this vibrant Fresh Juice will revitalize your day with its tantalizing blend of crisp, juicy watermelon.",Veg,4.9,20,,Check app
Fresh Juice,,Mango Juice,₹90,,"Refreshing and naturally sweet, this vibrant juice is bursting with the tropical flavors of luscious mangoes.",Veg,,,,Check app
Fresh Juice,,Pineapple Juice,₹90,,"A refreshing burst of tropical flavor in every sip, this luscious fresh juice is sure to transport your taste buds to paradise.",Veg,3.6,6,,Check app
Fresh Juice,,Mosambi Juice,₹90,,Refreshing and invigorating citrus juice bursting with natural sweetness and tanginess.,Veg,,,,Check app
Fresh Juice,,Muskmelon Juice,₹90,,Cool and refreshing juice made from fresh muskmelons.,Veg,,,,Check app
Fresh Juice,,Carrot Juice,₹130,,,Veg,,,,Check app
Fresh Juice,,Mosambi Solid Juice,₹160,,"Refreshing and invigorating, this vibrant and fruity solid juice is the perfect burst of zesty sweetness to quench your thirst.",Veg,,,,Check app
Fresh Juice,,Lime Juice,₹40,,A refreshing and tangy drink that will awaken your taste buds with its vibrant citrus flavor.,Veg,5.0,7,,Check app
Fresh Juice,,Pappaya Juice,₹90,,"A refreshing and revitalizing juice bursting with the tropical goodness of papaya, perfect for a delightful and invigorating start to the day.",Veg,,,,Check app
Fresh Juice,,Pulpy  Juice,₹80,,,Veg,,,,Check app
Fresh Juice,,Mint Lime Juice,₹50,,"Refreshing blend of mint and lime, a zesty and tangy drink bursting with natural flavors.",Veg,,,,Check app
Combos,,Egg Fried Rice Chilli Chicken,₹250,,A delectable combo of flavorful chicken and savory fried rice that will transport your taste buds to new heights.,Non-Veg,2.7,8,,Check app
Combos,,Veg Fried Rice Chilli Chicken,₹230,,"A flavorful combination of vegetarian fried rice and succulent, tender chicken, offering a delightful meal bursting with flavors from East Asian cuisine.",Non-Veg,4.5,4,,Check app
Combos,,Parotta Chilli Chicken,₹210,,,Non-Veg,3.9,3,,Check app
Combos,,Veg Noodles Chilli Chicken Combo,₹230,,"A delectable combination of seasoned noodles and tender chicken, sure to satisfy your taste buds.",Non-Veg,,,,Check app
Combos,,Veg Noodles Chilli Paneer,₹230,,"A delectable  flavorful veg noodles and tantalizing paneer, guaranteed to satisfy your cravings in one delightful combo.",Veg,,,,Check app
Combos,,Veg Fried Rice Paneer Combo,₹230,,"A delectable combination of flavorful veg fried rice and succulent paneer, offering a delightful and satisfying culinary experience.",Veg,5.0,3,,Check app
Combos,,Veg Noodles Chilli Gobi,₹210,,A delectable combination of flavorful veg noodles and crispy gobhi that will leave you craving for more.,Veg,,,,Check app
Combos,,Veg Fried Rice Gobi Combo,₹210,,"A delectable combination of flavorful vegetable fried rice and crispy cauliflower bites, creating a delightful combo that will satisfy your taste buds.",Veg,,,,Check app
Combos,,Parotta Gobi,₹170,,,Veg,,,,Check app
Combos,,Parotta Paneer,₹210,,,Veg,,,,Check app
Non Veg Sandwich,,Grilled Chicken Sandwich,₹170,,A flavorful grilled sandwich filled with succulent chicken and a medley of delicious spicy ingredients.,Non-Veg,,,,Check app
Non Veg Sandwich,,Chicken Cheese Sandwich,₹140,,"A mouthwatering fusion of tender chicken and savory melted cheese, served between two slices of fresh bread.",Non-Veg,,,,Check app
Non Veg Sandwich,,Chicken Club Sandwich,₹220,,"A delectable blend of succulent chicken and a medley of flavors, the Chicken Club sandwich is a heavenly delight for sandwich lovers.",Non-Veg,,,,Check app
Non Veg Sandwich,,Egg Mayo Sandwich,₹80,,A delectable combination of eggs and mayo served between two slices of bread.,Non-Veg,2.8,8,,Check app
