category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Hot Chocolate,₹249,Regular (240ml): ₹249 | Large (360ml): ₹289,"Steamed milk blended with rich chocolate for a thick, comforting classic.",Veg,4.5,313,,In Stock
Recommended,,Classic Cold Coffee,₹295,Regular (360ml): ₹295 | Large (480ml): ₹339,"Our bestselling classic—rich coffee blended into a smooth, creamy cold indulgence.
261 Kcal (regular)",Veg,4.6,504,Yes,In Stock
Recommended,,Iced Chocolate,₹259,Regular (360ml): ₹259 | Large (480ml): ₹299,"Lush chocolate folded into cold milk for a creamy, refreshing classic.
Size - 360/480ml for Regular/Large & 199/266 Kcal respectively. Allergen contains - Milk,Soy. An average active adult requires 2000 kcal energy per day.",Veg,4.5,26,,In Stock
Recommended,,Cinnamon Roll,₹239,,"Southern American breakfast rolls, layered with cinnamon sugar, topped with a pure cream cheese frosting.",Veg,4.7,55,,In Stock
Breakfast Special,,Apple Carrot Beetroot Juice,₹269,,"Serves 1 | Crisp apple, sweet carrot and earthy beet, cold-pressed into a smooth, naturally sweet juice.
Kcal : 288Allergens : No allergens",Veg,,,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot Sea Salt Mocha,₹325,Regular (240ml): ₹325 | Large (360ml): ₹365,"A warm embrace of rich chocolate and espresso, finished with a gentle sea salt touch.
Size - 240/360ml for Regular/Large & 142/213 Kcal respectively. Allergen contains - Milk, Soy. An average active adult requires 2000 kcal energy per day.",Veg,4.4,24,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot Toffee Nut Latte,₹369,Regular (240ml): ₹369 | Large (360ml): ₹409,"Serves 1 | A comforting hot latte layered with sweet, nutty toffee richness.
Kcal: Regular: 170, Large:258. Allergen contains - Milk, Wheat",Veg,5.0,9,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot Orange Zest Mocha,₹319,Regular (240ml): ₹319 | Large (360ml): ₹359,"Luxurious chocolate and espresso balanced with a subtle orange brightness.
Size - 240/360ml for Regular/Large & 149/224 Kcal respectively. Allergen contains - Milk,Soy. An average active adult requires 2000 kcal energy per day.",Veg,5.0,16,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot Dry Hazelnut Cappuccino,₹325,Regular (240ml): ₹325 | Large (360ml): ₹365,"Silky espresso crowned with thick foam and nutty hazelnut depth.
Size - 240/360ml for Regular/Large & 155/233 Kcal respectively. Allergen contains - Milk,Nut. An average active adult requires 2000 kcal energy per day.",Veg,4.8,23,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot Caramel Macchiato,₹345,Regular (240ml): ₹345 | Large (360ml): ₹385,"Sweet, rich, and comforting—our hot caramel macchiato is indulgence perfected.
Kcal: Regular: 185, Large:288. Allergen contains - Milk",Veg,4.9,10,,In Stock
Hot Beverages,TWC Specials - Hot Beverage,Hot French Vanilla Latte,₹339,Regular (240ml): ₹339 | Large (360ml): ₹379,"Smooth espresso blended with creamy milk and rich French vanilla for a cozy indulgence.
Size - 240/360ml for Regular/Large & 145/217 Kcal respectively. Allergen contains - Milk. An average active adult requires 2000 kcal energy per day.",Veg,5.0,15,,In Stock
Hot Beverages,Classics,Hot Americano,₹219,Regular (240ml): ₹219 | Large (360ml): ₹259,"Rich espresso softened with hot water for a clean, intense cup that lets the coffee shine.",Veg,4.8,90,Yes,In Stock
Hot Beverages,Classics,Hot Cappuccino,₹229,Regular (240ml): ₹229 | Large (360ml): ₹269,"Bold espresso layered with steamed milk and topped with a dense, creamy foam.
 93 Kcal (regular). Allergen contains - Milk. No added sugar.",Veg,4.7,130,Yes,In Stock
Hot Beverages,Classics,Hot Japanese Matcha Latte,₹289,Regular (240ml): ₹289 | Large (360ml): ₹319,"Ceremonial Japanese matcha whisked into velvety milk for a smooth, warming indulgence.
Allergens: Milk | Kcal: 150",Veg,4.9,13,,In Stock
Hot Beverages,Classics,Hot Flatwhite,₹249,Regular (240ml): ₹249 | Large (360ml): ₹289,Intense espresso finished with satin-smooth milk for a refined indulgence..Size - 240/360ml for Regular/Large  & 95/142 Kcal respectively. Allergen contains - Milk. An average active adult requires 2000 kcal energy per day.,Veg,4.9,17,,In Stock
Hot Beverages,Classics,Hot Chocolate,₹249,Regular (240ml): ₹249 | Large (360ml): ₹289,"Steamed milk blended with rich chocolate for a thick, comforting classic.",Veg,4.5,313,,In Stock
Hot Beverages,Classics,Hot Latte,₹229,Regular (240ml): ₹229 | Large (360ml): ₹269,"A creamy pour of steamed milk over espresso for a soft, comforting finish.Size - 240/360ml for Regular/Large & 95/142 Kcal respectively. Allergen contains - Milk. An average active adult requires 2000 kcal energy per day.",Veg,4.8,43,,In Stock
Hot Beverages,Classics,Hot Signature Filter Coffee,₹218,,"Classic filter coffee, naturally sweetened with jaggery—comfort in every small cup.
Size - 180ml for Regular & 114 Kcal respectively. Allergen contains - Milk. An average active adult requires 2000 kcal energy per day.",Veg,4.7,15,,In Stock
Hot Beverages,Hot Tea,Hot Himalayan Green Tea,₹239,Regular (240ml): ₹239 | Large (360ml): ₹239,"Pure Himalayan green tea, light-bodied and gently refreshing.",Veg,,,,In Stock
Hot Beverages,Hot Tea,Hot Masala Chai Latte,₹249,Regular (240ml): ₹249 | Large (360ml): ₹279,"Traditional masala chai elevated with smooth milk and indulgent spice notes.
Size - 240/360ml for Regular/Large & 212/330 Kcal respectively. Allergen contains - Milk. An average active adult requires 2000 kcal energy per day.",Veg,5.0,4,,In Stock
Cold Beverages,Frappe,Classic Cold Coffee,₹295,Regular (360ml): ₹295 | Large (480ml): ₹339,"Our bestselling classic—rich coffee blended into a smooth, creamy cold indulgence.
261 Kcal (regular)",Veg,4.6,504,Yes,In Stock
Cold Beverages,Frappe,Toffee Nut Frappe,₹389,Regular (360ml): ₹389 | Large (480ml): ₹435,"Serves 1 | Smooth coffee frappé swirled with sweet toffee nut richness.
 Kcal: Regular: 308, Large:425. Allergen contains - Milk, Wheat, Soy",Veg,4.4,11,,In Stock
Cold Beverages,Frappe,Caramel Frappe,₹339,Regular (360ml): ₹339 | Large (480ml): ₹385,"Velvety coffee blended with golden caramel into a luxuriously icy delight.
 Kcal: Regular: 289, Large:406. Allergen contains - Milk,Soy",Veg,4.7,44,,In Stock
Cold Beverages,Frappe,Mocha Chocochip Frappe,₹369,Regular (360ml): ₹369 | Large (480ml): ₹415,"Serves 1 | Rich mocha blended with crunchy choco chips into a thick, icy indulgence.
.Kcal: Regular: 474, Large:649. Allergen contains - Milk,Wheat,Soy",Veg,4.8,39,,In Stock
Cold Beverages,Frappe,Choco Hazelnut Frappe,₹349,Regular (360ml): ₹349 | Large (480ml): ₹395,"Thick, creamy, and indulgent—chocolate and hazelnut in perfect harmony.
Size - 360/480ml for Regular/Large & 365/487 Kcal respectively. Allergen contains - Milk,Soy,Nuts. An average active adult requires 2000 kcal energy per day.",Veg,4.7,16,,In Stock
