category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Butterscotch milkshake,₹89,,,Veg,5.0,3,,Check app
Recommended,,Carrot milkshake,₹69,,"A creamy and refreshing blend of sweet carrots, perfect for a healthy and delightful juice.",Veg,4.1,11,,Check app
Recommended,,Naan,₹50,,"Butter-infused flatbread from the tandoor, bursting with delectable flavors.",Veg,4.1,8,,Check app
Recommended,,Jamun,₹39,,"Indulge in this delectable Indian sweet, bursting with flavors that will tantalize your taste buds.",Veg,4.4,27,,Check app
Breakfast,,Vada (2 piece),₹69,,A savory and crispy breakfast delight that will tantalize your taste buds.,Veg,4.2,70,,Check app
Breakfast,,Poori (3 piece),₹119,,A delightful and satisfying Indian breakfast option that will satisfy your cravings.,Veg,4.3,36,,Check app
Breakfast,,Pesarattu,₹119,,A delectable and flavorful breakfast option bursting with savory and satisfying flavors.,Veg,4.1,26,,Check app
Breakfast,,Idli [2 pieces],₹70,,Soft and fluffy steamed cakes perfect for a delightful breakfast.,Veg,4.4,395,,Check app
Breakfast,,Butter masala dosa,₹129,,A delectable and flavorful South Indian breakfast option that is sure to tantalize your taste buds with its rich and creamy buttery goodness.,Veg,4.5,82,,Check app
Breakfast,,Podi masala dosa,₹119,,A delectable South Indian breakfast treat bursting with robust flavors and aromatic spices.,Veg,4.1,78,,Check app
Breakfast,,Masala dosa           ,₹119,,A savory and flavorful Indian breakfast treat that is a delight to enjoy.,Veg,4.3,336,,Check app
Breakfast,,Rice bath,₹79,,A delightful vegetarian breakfast dish that combines fluffy rice with a burst of flavors to start your day off right.,Veg,4.3,151,,Check app
Breakfast,,Kara bath,₹79,,A flavorful and comforting breakfast dish that's sure to brighten your mornings.,Veg,4.4,76,,Check app
Breakfast,,Plain dosa        ,₹80,,"A delightful and wholesome Indian breakfast option that is light, crisp, and perfect to kick-start your day.",Veg,4.4,99,,Check app
Breakfast,,Set dosa (3 piece),₹119,,"A delectable, fluffy and savory breakfast option that will leave you craving for more.",Veg,4.5,40,,Check app
North Indian Gravy,,Paneer butter masala,₹299,,A creamy and flavorful North Indian gravy dish that combines succulent paneer with a rich and indulgent buttery sauce.,Veg,4.4,49,,Check app
North Indian Gravy,,Kaju masala   ,₹267,,A rich and flavorful North Indian gravy with a nutty twist.,Veg,4.9,9,,Check app
North Indian Gravy,,Kadai paneer,₹279,,"Tender paneer cooked in a rich, aromatic tomato-based gravy, bursting with flavors of North India.",Veg,4.2,27,,Check app
North Indian Gravy,,Mushroom masala       ,₹220,,A flavorful and aromatic North Indian gravy with delectable mushrooms that will tantalize your taste buds.,Veg,4.3,5,,Check app
North Indian Gravy,,Dal fry         ,₹209,,"A flavorful North Indian gravy bursting with rich, aromatic flavors and a perfect blend of spices.",Veg,4.4,16,,Check app
North Indian Gravy,,Mix veg curry  ,₹239,,A flavorful North Indian gravy filled with a delightful medley of mixed vegetables.,Veg,4.9,6,,Check app
North Indian Gravy,,Kadai mushroom,₹259,,"A delectable and flavorful North Indian gravy bursting with succulent mushrooms in a rich, aromatic curry.",Veg,,,,Check app
North Indian Gravy,,Kadai mix veg,₹239,,A tantalizing medley of fresh garden vegetables cooked in a rich and flavorsome North Indian gravy.,Veg,3.5,3,,Check app
North Indian Gravy,,Dal thadka ,₹190,,"A flavorful delicacy from North India, this mouthwatering veg gravy is a true delight for the taste buds.",Veg,4.1,5,,Check app
Juices,,Paneer Grill Sandwich ,₹129,,,Veg,4.2,49,,Check app
Juices,,Watermelon,₹79,,Refreshing and fruity juice bursting with the vibrant flavors of summer.,Veg,4.4,34,,Check app
