category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Soups,,Hot & Sour Veg Soup,₹69,,"A zesty blend of vegetables in a tangy and spicy broth, our Hot & Sour Veg Soup is a perfect balance of flavors to warm your palate.",Veg,,,,Check app
Soups,,Tomato Soup,₹69,,"Our tomato soup features ripe tomatoes, gently simmered and blended to perfection with aromatic herbs and spices. Enjoy its smooth, rich flavor as a comforting and wholesome meal.",Veg,,,,Check app
Maggi Noodles/pasta,,Cheese Pasta,₹169,,"Indulge in our cheese pasta, featuring al dente pasta smothered in a rich, creamy cheese sauce. A delightful and comforting dish perfect for any cheese lover.",Veg,4.7,4,,Check app
Maggi Noodles/pasta,,Chicken Maggi,₹159,,"Savor our chicken Maggi, featuring tender noodles and succulent chicken pieces, seasoned with a flavorful blend of spices. A hearty and delicious meal for any time.",Non-Veg,,,,Check app
Maggi Noodles/pasta,,Chicken Pasta,₹189,,"Enjoy our chicken pasta, with tender chicken pieces and perfectly cooked pasta in a savory, herb-infused sauce. A hearty and delicious meal for any occasion.",Non-Veg,,,,Check app
Maggi Noodles/pasta,,Double Egg Maggi,₹149,,"Experience our double egg Maggi, featuring flavorful noodles topped with two perfectly cooked eggs. A satisfying and protein-packed meal that’s quick, delicious, and perfect for any time of day.",Non-Veg,4.9,6,,Check app
Maggi Noodles/pasta,,Paneer Maggi,₹159,,"Try our paneer Maggi, featuring tender noodles and soft paneer cubes, seasoned with a flavorful blend of spices. A delicious and satisfying meal for any time of the day.",Veg,,,,Check app
Maggi Noodles/pasta,,Simple Butter Maggi,₹99,,"Indulge in our simple butter Maggi, cooked to perfection and tossed with a generous pat of butter for a rich, creamy flavor. A comforting and delicious treat anytime.",Veg,,,,Check app
Maggi Noodles/pasta,,Simple Maggi,₹90,,"Enjoy our simple Maggi noodles, perfectly cooked and seasoned with a classic blend of spices. Quick, delicious, and comforting, ideal for a satisfying meal anytime.",Veg,,,,Check app
Maggi Noodles/pasta,,Sweet Corn Maggi,₹110,,"Enjoy our sweet corn Maggi, with perfectly cooked noodles, sweet corn kernels, and a delightful blend of spices. A tasty, quick, and satisfying meal for any time.",Veg,,,,Check app
Maggi Noodles/pasta,,Veg Butter Maggi,₹119,,"Savor our veg butter Maggi, combining perfectly cooked noodles, fresh vegetables, and a rich, buttery sauce. A delicious and wholesome meal, perfect for any time.",Veg,,,,Check app
Maggi Noodles/pasta,,Veg Maggi,₹110,,"Our veg Maggi features perfectly cooked noodles mixed with fresh vegetables and a blend of spices. A tasty, wholesome, and quick meal option for any time of day.",Veg,,,,Check app
Maggi Noodles/pasta,,VEG CHEESE MAGGI,₹120,,"Creamy and flavorful twist on classic Maggi noodles, cooked with fresh vegetables and topped with melted cheese for a deliciously comforting snack or quick meal",Veg,,,,Check app
Maggi Noodles/pasta,,PANEER PASTA,₹189,,"Delicious fusion dish combining soft paneer cubes with pasta, tossed in a flavorful sauce and mixed with herbs and spices for a satisfying meal.",Veg,,,,Check app
Maggi Noodles/pasta,,PANEER VEG MAGGI,₹120,,"Tasty fusion dish where Maggi noodles are cooked with fresh vegetables and soft paneer cubes, creating a flavorful and satisfying meal",Veg,,,,Check app
Maggi Noodles/pasta,,VEG CHEESE PASTA,₹179,,"Creamy and flavorful dish made with pasta, fresh vegetables, and a rich, cheesy sauce, offering a perfect blend of taste and comfort",Veg,,,,Check app
Maggi Noodles/pasta,,CHICKEN VEG MAGGI,₹169,,"Hearty and flavorful dish where Maggi noodles are cooked with tender chicken pieces, fresh vegetables, and aromatic spices for a wholesome and tasty meal",Non-Veg,,,,Check app
Sandwiches,,Bread Omelette,₹139,,"Try our bread omelet, featuring a fluffy omelet with seasoned eggs cooked around fresh bread slices. A hearty and flavorful dish that's perfect for a quick, satisfying breakfast or snack.",Non-Veg,,,,Check app
Sandwiches,,Cheese Chilly Sandwich,₹129,,"Try our cheese chilly sandwich, with melted cheese and spicy chilies between toasted bread. A delightful blend of creamy and zesty flavors, perfect for a quick and satisfying snack.",Veg,,,,Check app
Sandwiches,,Cheese Sandwich,₹119,,"Savor our cheese sandwich, featuring melted cheese layered between toasted bread. Simple yet delicious, it’s the perfect choice for a quick, satisfying snack or light meal.",Veg,,,,Check app
Sandwiches,,Chocolate Sandwich,₹119,,"Indulge in our chocolate sandwich, with rich, melted chocolate spread between soft, toasted bread. A decadent and delightful treat that’s perfect for satisfying your sweet cravings.",Veg,,,,Check app
Sandwiches,,French Toast,₹119,,"Savor our French toast, made from thick slices of bread soaked in a cinnamon-vanilla egg mixture and pan-fried to golden perfection. Served with a dusting of powdered sugar and maple syrup.[veg preparation]",Veg,,,,Check app
Sandwiches,,Jam Toast Sandwich,₹79,,"Enjoy our jam toast sandwich, featuring sweet, fruity jam spread between toasted bread. A simple, delightful treat that’s perfect for a quick breakfast or a satisfying snack.",Veg,,,,Check app
Sandwiches,,Paneer Capsicum Sandwich,₹149,,"Try our paneer capsicum sandwich, with tender paneer and crisp capsicum slices nestled between toasted bread. A flavorful and satisfying option for a quick and delicious meal.",Veg,,,,Check app
Sandwiches,,Peanut Butter Chocolate Sandwich,₹129,,"Treat yourself to our peanut butter chocolate sandwich, combining creamy peanut butter and rich chocolate spread between toasted bread. A deliciously indulgent snack that perfectly balances sweet and savory flavors.",Veg,,,,Check app
Sandwiches,,Peanut Butter Sandwich,₹119,,"Enjoy our peanut butter sandwich, featuring creamy or crunchy peanut butter spread generously between toasted bread. A simple, satisfying treat that’s perfect for a quick, wholesome snack.",Veg,,,,Check app
Sandwiches,,Toast With (scrambled Egg),₹119,,"Enjoy our toast with scrambled eggs, featuring perfectly seasoned, fluffy eggs served atop crispy, golden toast. A classic, satisfying breakfast or snack that's both hearty and delicious.",Non-Veg,,,,Check app
Sandwiches,,Veg Cheese Sandwich,₹129,,"Enjoy our veg cheese sandwich, featuring fresh vegetables and melted cheese layered between toasted bread. A delicious and satisfying option for a quick and hearty meal.",Veg,,,,Check app
Sandwiches,,Veg Sandwich,₹119,,"Delight in our fresh veg sandwich, layered with crisp vegetables and a flavorful spread between toasted bread. A wholesome, tasty option for a quick and satisfying meal.",Veg,,,,Check app
Burger,,Chicken Burger,₹199,,"Enjoy our chicken burger, featuring a juicy, seasoned chicken patty topped with fresh lettuce, tomato, and a savory sauce, all nestled in a soft, toasted bun. A satisfying and delicious choice.",Non-Veg,,,,Check app
Burger,,Veg Burger,₹149,,"Try our veg burger, with a flavorful vegetable patty, crisp lettuce, juicy tomato, and tangy sauces, all nestled in a soft bun. A delicious and satisfying option for any meal.",Veg,,,,Check app
Burger,,Korean Chicken Burger,₹249,,"A Chicken Korean Burger features a juicy fried or grilled chicken patty coated in a spicy-sweet Korean gochujang sauce, topped with crunchy pickled veggies, lettuce, and sometimes kimchi, all nestled in a soft bun. It offers a bold, flavorful bite with a perfect balance of heat and tang",Non-Veg,,,,Check app
Burger,,Korean Veg Burger,₹209,,"A Veg Korean Burger is a delicious fusion burger with a crispy vegetable patty, tangy Korean gochujang sauce, fresh lettuce, and pickled vegetables, served in a soft bun. It offers a perfect balance of spicy, sweet, and savory flavors",Veg,,,,Check app
Momo's,,Chicken Momos [5 pcs],₹189,,"Savor our chicken momos, steamed to perfection with a savory filling of seasoned chicken and spices. A delicious and satisfying option, ideal as a flavorful appetizer or light meal.",Non-Veg,4.7,5,,Check app
Momo's,,Paneer Momos [5 pcs],₹179,,"Enjoy our paneer momos, steamed to perfection with a savory filling of spiced paneer and fresh vegetables. A delightful and flavorful treat, perfect as an appetizer or light meal.",Veg,,,,Check app
Momo's,,Veg Momos [6 pcs],₹159,,"Delight in our veg momos, steamed to perfection and filled with a savory mix of fresh vegetables and spices. A flavorful and satisfying treat, perfect as an appetizer or light meal.",Veg,,,,Check app
Momo's,,FRIED CHICKEN MOMO[5 pcs],₹220,,"Crispy and flavorful snack featuring juicy chicken-filled dumplings deep-fried to golden perfection, served with spicy dipping sauce",Non-Veg,,,,Check app
Momo's,,FRIED PANEER MOMO[5 pcs],₹220,,"Crispy and flavorful snack featuring golden-fried dumplings stuffed with a spiced paneer filling, served with tangy dipping sauce",Veg,,,,Check app
Momo's,,FRIED VEG MOMO[5 pcs],₹199,,"Crispy and delicious snack made with golden-fried dumplings stuffed with a flavorful mix of vegetables, served with spicy chutney",Veg,,,,Check app
Fries,,Chicken Cutlet[2 pcs],₹169,,"Indulge in our chicken cutlet, featuring a tender chicken breast coated in a crispy, golden breading. Juicy and flavorful, it's a satisfying main dish or hearty meal option.",Non-Veg,3.2,3,,Check app
Fries,,Chicken Nuggets[5 pcs],₹169,,"Enjoy our chicken nuggets, crispy on the outside and tender on the inside. Perfectly seasoned and served with your choice of dipping sauces, these nuggets make a delicious and satisfying snack.",Non-Veg,,,,Check app
Fries,,Chicken Pops[8 pcs],₹169,,"Savor our chicken popcorn, bite-sized pieces of chicken coated in a crispy, seasoned breading. A crunchy and flavorful snack, perfect for dipping or enjoying on its own.",Non-Veg,,,,Check app
Fries,,Chicken Samosa[2 pcs],₹80,,"Savor our chicken samosas, crispy pastry pockets filled with spiced, tender chicken and savory vegetables. Perfectly seasoned and fried to golden perfection, they make a delightful appetizer or snack.",Non-Veg,,,,Check app
Fries,,Classic French Fries,₹129,,"Savor our classic French fries, golden and crispy on the outside with a tender interior. Perfectly seasoned and ideal as a tasty side or snack, served hot and fresh.",Veg,,,,Check app
Fries,,Double Omlette,₹69,,"Savor our omelet, made with fresh eggs and cooked to perfection. Fluffy and golden, it can be customized with your choice of fillings for a delicious and satisfying breakfast or meal.",Non-Veg,,,,Check app
Fries,,Masala French Fries,₹139,,"Enjoy our masala French fries, crispy and golden with a zesty blend of spices. Perfectly seasoned for an extra kick, these fries are a flavorful and addictive side or snack.",Veg,,,,Check app
Fries,,Omelette (2 Eggs),₹69,,"Savor our omelet, made with fresh eggs and cooked to perfection. Fluffy and golden, it can be customized with your choice of fillings for a delicious and satisfying breakfast or meal.",Non-Veg,,,,Check app
Fries,,Piri Piri Cheese Fries,₹179,,"Try our peri-peri French fries, golden and crispy with a spicy, tangy peri-peri seasoning. A bold and flavorful twist on classic fries, perfect as a zesty side or snack.",Veg,,,,Check app
Fries,,Veg Cutlet[2 pcs],₹69,,"Try our veg cutlet, featuring a crispy, golden exterior with a spiced mixture of potatoes and vegetables inside. A delicious and satisfying snack or side dish, perfect for any meal.",Veg,,,,Check app
