category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Bajji/snacks,,Mirchi Baji ( 3 Pc ),₹85,,"Three farm-fresh long green chilies coated in a crispy golden batter and deep-fried to perfection. Non-spicy, crunchy, and irresistibly tasty.",Veg,3.9,13,,Check app
Bajji/snacks,,Bun Maska (1pc),₹80,,,Veg,2.2,3,,Check app
Bajji/snacks,,Samosa (1pc),₹55,,,Veg,4.6,3,,Check app
Bajji/snacks,,Samosa (2pc),₹95,,,Veg,3.8,4,,Check app
Bramha Specials,,Chow Chow Bath,₹125,,"A classic Karnataka combo of Khara Bath (spiced upma) and Kesari Bath (sweet semolina), served together for a perfect balance of savory and sweet. A must-try traditional breakfast delight.",Veg,4.3,61,,Check app
Bramha Specials,,Ghee Podi Thatte Idli,₹120,,"A soft, plate-sized idli generously topped with spicy podi (gunpowder) and a drizzle of aromatic ghee. A flavorful Karnataka specialty that melts in every bite.",Veg,4.3,85,,Check app
Bramha Specials,,Idli ( 2pc),₹85,,"Two soft, melt-in-the-mouth steamed rice cakes, served with fresh chutney and aromatic sambar. A timeless South Indian favorite that’s light, healthy, and satisfying.",Veg,4.4,245,Yes,Check app
Bramha Specials,,Idli Vada,₹125,,"A classic South Indian combo of two soft, fluffy idlis paired with one crispy golden vada. Served with fresh chutney and sambar for the perfect breakfast delight.",Veg,4.4,248,Yes,Check app
Bramha Specials,,Kesari Bath,₹85,,"A traditional South Indian sweet made with roasted semolina, ghee, sugar, and flavored with saffron & cardamom. Rich, aromatic, and garnished with cashews & raisins for a delightful finish.",Veg,4.3,106,,Check app
Bramha Specials,,Khara Bath,₹75,,"A flavorful South Indian delicacy made with roasted semolina cooked in ghee, vegetables, and aromatic spices. Savory, wholesome, and best enjoyed hot with chutney.",Veg,4.1,89,Yes,Check app
Bramha Specials,,Poori Sagu,₹145,,Three fluffy pooris served with flavorful vegetable sagu and chutney. A wholesome South Indian classic.,Veg,4.3,111,Yes,Check app
Bramha Specials,,Rava Idli,₹85,,"A soft and fluffy steamed idli made with roasted semolina, tempered spices, and a hint of yogurt. Light, tasty, and served with chutney & sambar for a classic South Indian experience.",Veg,4.3,141,,Check app
Bramha Specials,,Rice Bath ( Day's Special ),₹95,,"A flavorful South Indian rice delicacy cooked with aromatic spices, herbs, and vegetables. Wholesome, satisfying, and best enjoyed with chutney or raita.",Veg,4.3,119,Yes,Check app
Bramha Specials,,Vada ( 1pc),₹75,,"A crispy, golden fried South Indian lentil doughnut, crunchy outside and soft inside. Served with chutney and sambar for a flavorful bite.",Veg,4.3,263,Yes,Check app
Bramha Specials,,Mangalore Buns ( 1 Pc),₹85,,"A soft, fluffy, mildly sweet deep-fried bread made with ripe bananas, a coastal Karnataka specialty. Light, tasty, and perfect with chutney or sambar.",Veg,4.4,159,Yes,Check app
