category,subcategory,name,price,variants,description,veg,rating,rating_count,bestseller,availability
Recommended,,Fish Finger,₹460,,Boneless Fish Are Mixed With A Spicy Seasoning Battered V,Non-Veg,,,,In Stock
Recommended,,Peri Peri Chicken Wings,₹380,,"Spicy Peri Peri Wings, Smoky, Tangy Flavor.",Non-Veg,,,,In Stock
Recommended,,Bbq Chicken Wings,₹380,,Crispy Chicken Wings Smothered In A Sweet Tangy Homemade Bbq Sauce,Non-Veg,,,,In Stock
Recommended,,Stuffed Mushroom,₹330,,"Juicy Mushrooms, Creamy Filling, Herbs, Cheese.",Veg,,,,In Stock
Recommended,,Nachos With Salsa,₹290,,"Crispy Nachos, Fresh Salsa, Zesty Flavors.",Veg,,,,In Stock
Recommended,,Almond Milk,₹100,,,Veg,,,,In Stock
Recommended,,Oats Milk,₹100,,,Veg,,,,In Stock
Recommended,,Avocado Toast,₹370,,Crispy Toast Topped With Creamy Avocado.,Veg,,,Yes,In Stock
Recommended,,Masala,₹260,,,Non-Veg,,,,In Stock
Recommended,,Non-veg Caesar Salad,₹360,,"Crisp Lettuce, Creamy Dressing, Croutons, Parmesan.",Non-Veg,,,,In Stock
Recommended,,Veg Pesto,₹450,,Pasta With Fresh Basil Pesto And Parmesan.,Veg,,,,In Stock
Recommended,,Pesto Paneer,₹380,,Butter Grilled Paneer/Basil Pesto Picked Onion/Lettuce/Capsicum,Veg,,,,In Stock
Recommended,,Vegan Grilled Sandwich,₹380,,Toasted Delight Filled With Fresh Seasonal Veggies & Veg Cheese Grilled To Golden Perfection,Veg,,,,In Stock
Recommended,,Crispy Chicken Cheese Burger,₹390,,"Grilled Chicken Patty Served In A Soft Bun With Fresh Lettuce,Tomato And Choice Of Sauce",Non-Veg,,,,In Stock
Recommended,,Sea Salt Mocha,₹260,,,Veg,,,,In Stock
Recommended,,Cappuccino,₹220,,,Veg,,,,In Stock
Recommended,,Macchiato,₹220,,,Veg,,,,In Stock
Recommended,,Cortado,₹220,,,Veg,,,,In Stock
Recommended,,Espresso Tonic,₹260,,,Veg,,,,In Stock
Recommended,,Espresso Doppio,₹220,,,Veg,,,,In Stock
Mains,,The Faith Cafe Grilled Chicken,₹480,,"Slow Cooked To Perfection Tender Chicken Breast, Vegetables, Mashed Potato/ Herb Rice And Mushroom Sauce",Non-Veg,,,Yes,In Stock
Mains,,Fish Meze Platter,₹510,,"Pita Bread/Lavish Crackers And Falafel Served With Classic Hummus,Tzatziki, Babaghanoush, Side Of Salad",Non-Veg,,,,In Stock
Mains,,Chicken Stroganoff Veggies,₹490,,A Creamy Comforting Dish Featuring A Melody Of Fresh Sauteed Vegetables/Chicken In A Rich Velvelty Mushroom Sauce,Non-Veg,,,,In Stock
Mains,,Chicken Meze Platter,₹480,,"Pita Bread/Lavish Crackers And Falafel Served With Classic Hummus,Tzatziki, Babaghanoush, Side Of Salad",Non-Veg,,,,In Stock
Mains,,Veg Meze Platter,₹420,,"Pita Bread/Lavish Crackers And Falafel Served With Classic Hummus,Tzatziki, Babaghanoush, Side Of Salad",Veg,,,,In Stock
Mains,,Mexican Rice Bowl Non Veg,₹440,,A Creamy Indulgent Risotto Made With Earthy Mushrooms And Vegetables/Chicken,Non-Veg,,,,In Stock
Mains,,Veg Stroganoff Veggies,₹420,,A Creamy Comforting Dish Featuring A Melody Of Fresh Sauteed Vegetables/Chicken In A Rich Velvelty Mushroom Sauce,Non-Veg,,,,In Stock
Mains,,Mexican Rice Bowl Veg,₹360,,A Creamy Indulgent Risotto Made With Earthy Mushrooms And Vegetables/Chicken,Veg,,,,In Stock
Pasta,,Pink Pasta Non Veg,₹480,,Pasta With Slow-Cooked Lamb In Tomato Sauce,Non-Veg,,,,In Stock
Pasta,,Non-veg Creamy Cheese Pasta,₹480,,"Pasta In Rich, Velvety Cheese Sauce.",Non-Veg,,,,In Stock
Pasta,,Non-veg Mac N Cheese Pasta,₹520,,Baked Cheesy Pasta With A Crispy Top.,Non-Veg,,,,In Stock
Pasta,,Non-veg Aligo E Olio,₹480,,Garlic Olive Oil Pasta With Chili Flakes.,Non-Veg,,,,In Stock
Pasta,,Veg Aligo E Olio,₹450,,Garlic Olive Oil Pasta With Chili Flakes.,Veg,,,,In Stock
Pasta,,Veg Arabiata,₹450,,Spicy Tomato Pasta With Garlic And Chili.,Veg,,,,In Stock
Pasta,,Veg Pesto,₹450,,Pasta With Fresh Basil Pesto And Parmesan.,Veg,,,,In Stock
Pasta,,Veg Creamy Cheese Pasta,₹450,,"Pasta In Rich, Velvety Cheese Sauce.",Veg,,,,In Stock
Pasta,,Veg Mac N Cheese Pasta,₹480,,Baked Cheesy Pasta With A Crispy Top.,Veg,,,,In Stock
Pasta,,Non-veg Arabiata,₹480,,Spicy Tomato Pasta With Garlic And Chili.,Non-Veg,,,,In Stock
Appetizer,,Hummus & Pita Bread,₹320,,"Warm Pita, Creamy Hummus, Olive Oil.",Veg,,,,In Stock
Appetizer,,"Prawns (butter, Garlic, Golden Fry)",₹450,,"Juicy Prawns, Buttery Garlic, Crispy Coating.",Non-Veg,,,,In Stock
Appetizer,,Fish Finger,₹460,,Boneless Fish Are Mixed With A Spicy Seasoning Battered V,Non-Veg,,,,In Stock
Appetizer,,Peri Peri Chicken Wings,₹380,,"Spicy Peri Peri Wings, Smoky, Tangy Flavor.",Non-Veg,,,,In Stock
Appetizer,,Bbq Chicken Wings,₹380,,Crispy Chicken Wings Smothered In A Sweet Tangy Homemade Bbq Sauce,Non-Veg,,,,In Stock
Appetizer,,Stuffed Mushroom,₹330,,"Juicy Mushrooms, Creamy Filling, Herbs, Cheese.",Veg,,,,In Stock
Appetizer,,Focaccia Bread With Hummus,₹320,,"Soft Focaccia, Creamy Hummus, Olive Oil, Herbs.",Veg,,,,In Stock
Appetizer,,Potato Wedges,₹280,,"Crispy Potato Wedges, Seasoning, Dipping Sauce.",Veg,,,,In Stock
Appetizer,,Jalapeno Popper Cheese Balls,₹380,,Crispy Cheese Jalape,Veg,,,,In Stock
Appetizer,,Nachos With Salsa,₹290,,"Crispy Nachos, Fresh Salsa, Zesty Flavors.",Veg,,,,In Stock
Appetizer,,Fajita Wrap,₹240,,"Rich And Velvety Broccoli With A Touch Of Cream, Served Warm For A Comforting Experience.",Veg,,,,In Stock
Appetizer,,Veg Bruscheta,₹320,,"Toasted Bread, Fresh Veggies, Herbs, Olive Oil.",Veg,,,,In Stock
Sandwich,,Pesto Paneer,₹380,,Butter Grilled Paneer/Basil Pesto Picked Onion/Lettuce/Capsicum,Veg,,,,In Stock
Sandwich,,Classic Chicken Sandwich,₹420,,Creamy Crunchy Filling With Perfect Chunks Of Seasoned Chicken,Non-Veg,,,,In Stock
Sandwich,,Croissant Chicken Sandwich,₹460,,This Croissant Sandwich Is Loaded With Chicken And Cheese,Non-Veg,,,,In Stock
Sandwich,,Pesto Chicken Sandwich,₹420,,Chicken Topped With Melty Slice Of Cheese & Basil Pesto,Non-Veg,,,,In Stock
Sandwich,,Croissant Veg Sandwich,₹420,,This Croissant Sandwich Is Loaded With Classic Vegetables And Cheese,Veg,,,,In Stock
Sandwich,,Vegan Grilled Sandwich,₹380,,Toasted Delight Filled With Fresh Seasonal Veggies & Veg Cheese Grilled To Golden Perfection,Veg,,,,In Stock
Sandwich,,Spinach & Corn Sandwich,₹380,,A Tasty Cheesy Sandwich Made With A Creamy & Cheesy Filling Made With Spinach Sweet Corn,Veg,,,,In Stock
All Day Breakfast,,Protein Breakfast,₹520,,"2 Eggs,Chicken Sausage,Chicken Salami,Chicken Breast,Hashbrown,Slice Of Toast",Veg,,,,In Stock
All Day Breakfast,,American Breakfast,₹480,,"2 Eggs/Baked Beans, Cherry Tomatoes, Veggies, Chicken Sausage, Chicken Salami, Slice Of Toast",Veg,,,,In Stock
All Day Breakfast,,Farmers Breakfast,₹380,,"Carrot,Beans,Mushroom,Broccoli,Hash Brown/Mashed Potatoes,Paneer,Slice Of Bread",Veg,,,Yes,In Stock
All Day Breakfast,,Meditterean Egg Benedict,₹380,,"Mushroom,Cherry Tomatoes,Hash Brown/Mashed Potatoes,Baked Beans,Tofu,Slice Of Bread",Veg,,,Yes,In Stock
All Day Breakfast,,English Breakfast,₹450,,"Chicken Sausage,Tomatoes,2 Eggs,Baked Beans,Slice Of Toast",Non-Veg,,,,In Stock
Burgers,,Guacomole Black Bean Burger,₹380,,Minced Flavored Vegetable Deep Fried And Dressed With Chilly Mayo Sauce And Lettuce,Veg,,,Yes,In Stock
Burgers,,Crispy Chicken Cheese Burger,₹390,,"Grilled Chicken Patty Served In A Soft Bun With Fresh Lettuce,Tomato And Choice Of Sauce",Non-Veg,,,,In Stock
Burgers,,Og Grill Chicken Burger,₹390,,A Thin Chicken Patty With Caramelized Crispy Crust Topped With Cheese,Non-Veg,,,,In Stock
Salad,,Mixed Green Avocado Salad Chicken,₹380,,"Fresh Veggies, Feta, Olives, Olive Oil.",Non-Veg,,,Yes,In Stock
Salad,,Non-veg Caesar Salad,₹360,,"Crisp Lettuce, Creamy Dressing, Croutons, Parmesan.",Non-Veg,,,,In Stock
Salad,,Mixed Green Avocado Salad,₹320,,"Fresh Veggies, Feta, Olives, Olive Oil.",Veg,,,,In Stock
Salad,,Veg Caesar Salad,₹280,,"Crisp Lettuce, Creamy Dressing, Croutons, Parmesan.",Veg,,,,In Stock
Salad,,Veg Watermelon Feta Salad,₹280,,"Juicy Watermelon, Feta, Mint, Balsamic.",Veg,,,,In Stock
Salad,,Non-veg Avocado Salad,₹380,,"Creamy Avocado, Fresh Greens, Light Dressing.",Non-Veg,,,,In Stock
Steaks,,Grilled Cottage Cheese Steak,₹410,,Served With Velvety Pairing Sweet Corn & Spinach,Veg,,,,In Stock
Steaks,,Grilled Chicken Steak,₹450,,"Juicy Chicken Breast Grilled, Mashed Potatos \Rice Sauteed Veggies & Demi Gless Sauce/Mushroom Sauce",Non-Veg,,,,In Stock
Cold Brew,,Cranberry Cold Brew,₹270,,,Veg,,,,In Stock
Cold Brew,,Coconut Cold Brew,₹270,,,Veg,,,,In Stock
Cold Brew,,Orange Ginger Cold Brew,₹260,,,Veg,,,,In Stock
Cold Brew,,Classic Cold Brew,₹240,,,Veg,,,,In Stock
Cold Brew,,Cold Brew Tonic,₹260,,,Veg,,,,In Stock
Omelette,,Grilled Chicken Omellete,₹310,,,Non-Veg,,,,In Stock
Omelette,,Mushroom Spinach & Cheese Omellette,₹310,,,Non-Veg,,,,In Stock
Omelette,,Egg White,₹220,,,Non-Veg,,,,In Stock
Omelette,,Masala,₹260,,,Non-Veg,,,,In Stock
Pizza,,Farmer Fresh Veggies Pizza,₹390,,Fresh Vegetable & Mozzarella Cheese,Non-Veg,,,,In Stock
Pizza,,Classic Margherita Pizza,₹380,,Topped With Fresh Tomatoes And Basil And Mozzarella Cheese,Veg,,,,In Stock
Pizza,,Bbq Chicken Pizza,₹480,,"Grilled Chicken Strips Topped With Melted Mozzarella Cheese,Fresh Veggies & A Smoky Bbq Sauce",Non-Veg,,,,In Stock
Classic,,Cold Coffee,₹245,,,Veg,,,Yes,In Stock
Classic,,Sea Salt Mocha,₹260,,,Veg,,,,In Stock
Classic,,Vietnamese Coffee,₹280,,,Veg,,,,In Stock
Classic,,Mocha,₹240,,,Veg,,,,In Stock
Classic,,Flat White,₹220,,,Veg,,,,In Stock
Classic,,Cappuccino,₹220,,,Veg,,,,In Stock
Classic,,Decaf,₹210,,,Veg,,,,In Stock
Classic,,Americano,₹199,,,Veg,,,,In Stock
Classic,,Macchiato,₹220,,,Veg,,,,In Stock
Classic,,Cortado,₹220,,,Veg,,,,In Stock
Classic,,Espresso Tonic,₹260,,,Veg,,,,In Stock
Classic,,Portugese Coffee,₹280,,,Veg,,,,In Stock
Classic,,Espresso Doppio,₹220,,,Veg,,,,In Stock
